term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
sale_year::2015:treated,36136.6190254571,31181.4715914272,1.15891320008746,0.250120024569856,-25966.6638716017,98239.9019225159,event_dollars,1,treatment,2015
sale_year::2016:initial_price_100k,40015.122060683,8670.66427077522,4.61500074400936,1.56633123494287e-05,22745.9975251554,57284.2465962106,event_dollars,1,initial_price_year,2016
sale_year::2016:treated,41895.6147097603,26799.1161996934,1.56332076019132,0.122131840172183,-11479.4509878536,95270.6804073741,event_dollars,1,treatment,2016
sale_year::2017:initial_price_100k,50111.8301566458,10219.9606580607,4.90332906684151,5.21742707354526e-06,29757.0144423402,70466.6458709514,event_dollars,1,initial_price_year,2017
sale_year::2017:treated,47484.3047438796,30194.7972785286,1.57259889198347,0.119965842489567,-12653.8459495391,107622.455437298,event_dollars,1,treatment,2017
sale_year::2018:initial_price_100k,49570.2764700586,10800.521394709,4.58961883954438,1.7228557477255e-05,28059.1738383355,71081.3791017817,event_dollars,1,initial_price_year,2018
sale_year::2018:treated,22478.6094605444,27251.7639944694,0.824849703861607,0.412038389450515,-31797.9824517408,76755.2013728297,event_dollars,1,treatment,2018
sale_year::2008:treated,12302.9608524459,17523.0309738734,0.702102328688994,0.484760092329161,-22597.1799761729,47203.1016810647,event_hedonic_dollars,0,treatment,2008
sale_year::2009:treated,16727.1556849415,17739.9862819966,0.942906912048574,0.348716295874412,-18605.0890883833,52059.4004582663,event_hedonic_dollars,0,treatment,2009
sale_year::2010:treated,-17663.8867181391,15227.381383237,-1.16000816381892,0.249676687671461,-47991.8451357452,12664.0716994671,event_hedonic_dollars,0,treatment,2010
sale_year::2011:treated,11773.5065652002,16429.7909390207,0.716595032091257,0.475820389880853,-20949.2580302354,44496.2711606358,event_hedonic_dollars,0,treatment,2011
sale_year::2013:treated,19834.4687239364,17645.701825962,1.12403966243803,0.264534056730995,-15309.992280789,54978.9297286618,event_hedonic_dollars,0,treatment,2013
sale_year::2014:treated,32966.4442452886,26725.7063826208,1.2335106796925,0.221186643241147,-20262.4131303827,86195.30162096,event_hedonic_dollars,0,treatment,2014
sale_year::2015:treated,47529.1982589045,34772.8101912085,1.36684950101965,0.175702257050328,-21726.8553592984,116785.251877107,event_hedonic_dollars,0,treatment,2015
sale_year::2016:treated,77474.3487384359,34638.306055506,2.23666678775479,0.0282406652181535,8486.18332319568,146462.514153676,event_hedonic_dollars,0,treatment,2016
